data,coletadoEm,nome,indexador,vencimento,taxaCompra,taxaVenda,puCompra,puVenda,investimentoMinimo,isin
2026-09-14,2026-09-16T04:23:55-03:00,Tesouro Selic 2031,SELIC,2031-03-01,0.0007000000000000001,0.0008,19810.92,19791.8,,
2026-09-14,2026-09-16T04:23:55-03:00,Tesouro Selic 2028,SELIC,2028-03-01,0.0001,0.0002,19871.18,19857.95,,
2026-09-14,2026-09-16T04:23:55-03:00,Tesouro Selic 2029,SELIC,2029-03-01,0.0003,0.0004,19860.64,19845.45,,
2026-09-14,2026-09-16T04:23:55-03:00,Tesouro Selic 2027,SELIC,2027-03-01,0.0001,0.0002,19874.6,19863.37,,
2026-09-14,2026-09-16T04:23:55-03:00,Tesouro Prefixado 2031,PREFIXADO,2031-01-01,0.1423,0.1435,567.21,564.38,,
2026-09-14,2026-09-16T04:23:55-03:00,Tesouro Prefixado 2027,PREFIXADO,2027-01-01,0.1359,0.1371,963.27,962.48,,
2026-09-14,2026-09-16T04:23:55-03:00,Tesouro Prefixado 2032,PREFIXADO,2032-01-01,0.1433,0.1445,494.27,491.28,,
2026-09-14,2026-09-16T04:23:55-03:00,Tesouro Prefixado 2029,PREFIXADO,2029-01-01,0.13970000000000002,0.1409,742.79,740.63,,
2026-09-14,2026-09-16T04:23:55-03:00,Tesouro Prefixado 2028,PREFIXADO,2028-01-01,0.1368,0.138,847.58,846.0,,
2026-09-14,2026-09-16T04:23:55-03:00,Tesouro IPCA+ com Juros Semestrais 2035,IPCA,2035-05-15,0.0758,0.077,4380.13,4347.17,,
2026-09-14,2026-09-16T04:23:55-03:00,Tesouro IPCA+ com Juros Semestrais 2032,IPCA,2032-08-15,0.0761,0.07730000000000001,4413.69,4388.41,,
2026-09-14,2026-09-16T04:23:55-03:00,Tesouro IPCA+ com Juros Semestrais 2037,IPCA,2037-05-15,0.075,0.0762,4336.28,4298.56,,
2026-09-14,2026-09-16T04:23:55-03:00,Tesouro IPCA+ com Juros Semestrais 2055,IPCA,2055-05-15,0.073,0.0742,4124.33,4065.98,,
2026-09-14,2026-09-16T04:23:55-03:00,Tesouro IPCA+ com Juros Semestrais 2060,IPCA,2060-08-15,0.073,0.0742,4020.28,3960.05,,
2026-09-14,2026-09-16T04:23:55-03:00,Tesouro IPCA+ com Juros Semestrais 2045,IPCA,2045-05-15,0.0739,0.0751,4196.22,4145.84,,
2026-09-14,2026-09-16T04:23:55-03:00,Tesouro IPCA+ com Juros Semestrais 2040,IPCA,2040-08-15,0.07400000000000001,0.0752,4212.11,4168.03,,
2026-09-14,2026-09-16T04:23:55-03:00,Tesouro IPCA+ com Juros Semestrais 2050,IPCA,2050-08-15,0.0737,0.07490000000000001,4064.36,4009.38,,
2026-09-14,2026-09-16T04:23:55-03:00,Tesouro IPCA+ com Juros Semestrais 2030,IPCA,2030-08-15,0.0761,0.07730000000000001,4514.88,4496.48,,
2026-09-14,2026-09-16T04:23:55-03:00,Tesouro IPCA+ 2029,IPCA,2029-05-15,0.0755,0.0767,3902.53,3890.34,,
2026-09-14,2026-09-16T04:23:55-03:00,Tesouro IPCA+ 2050,IPCA,2050-08-15,0.073,0.0742,885.94,862.56,,
2026-09-14,2026-09-16T04:23:55-03:00,Tesouro IPCA+ 2045,IPCA,2045-05-15,0.0734,0.0746,1270.81,1244.52,,
2026-09-14,2026-09-16T04:23:55-03:00,Tesouro IPCA+ 2032,IPCA,2032-08-15,0.0762,0.07740000000000001,3069.56,3048.92,,
2026-09-14,2026-09-16T04:23:55-03:00,Tesouro IPCA+ 2040,IPCA,2040-08-15,0.0734,0.0746,1774.1,1746.57,,
